variant,psi_scale,ld_scale,lq_scale,vdc_scale,imax_scale,psi_f_wb,ld_h,lq_h,saliency_ratio,vdc_v,imax_a,score,low_peak_id_a,low_peak_iq_a,low_peak_torque_nm,low_peak_current_a,low_peak_voltage_v,low_peak_voltage_margin_v,low_peak_current_margin_a,low_peak_copper_loss_w,low_peak_feasible,high_target_id_a,high_target_iq_a,high_target_torque_nm,high_target_current_a,high_target_voltage_v,high_target_voltage_margin_v,high_target_current_margin_a,high_target_copper_loss_w,high_target_feasible,high_max_id_a,high_max_iq_a,high_max_torque_nm,high_max_current_a,high_max_voltage_v,high_max_voltage_margin_v,high_max_current_margin_a,high_max_copper_loss_w,high_max_feasible
psi1.00_ld1.00_lq1.60_vdc1.00_imax1.15,1.0,1.0,1.6,1.0,1.15,0.055,0.00018,0.0006720000000000001,3.7333333333333334,360.0,299.0,-2.3727967746624916,-103.0,158.0,100.180848,188.60805921274945,52.38715082518549,155.4589460830798,110.39194078725055,1867.5825000000004,True,-253.0,56.0,60.303936,259.12352266824405,204.1100756829278,3.7360212253375096,39.87647733175595,3525.112499999999,True,-293.0,58.0,69.306288,298.6854532781936,206.60410351900822,1.2419933892570896,0.31454672180638,4683.682499999998,True
psi0.85_ld1.00_lq1.30_vdc1.15_imax1.00,0.85,1.0,1.3,1.15,1.0,0.04675,0.00018,0.000546,3.033333333333333,413.99999999999994,260.0,-2.5732341013626048,-134.0,174.0,100.008936,219.61784991206886,47.13101368500528,191.8919977594998,40.38215008793114,2532.1800000000003,True,-206.0,82.0,60.09583200000001,221.72054483064937,237.89476354586768,1.1282478986373974,38.279455169350626,2580.9,True,-246.0,82.0,67.298712,259.3067681338071,234.1580632192544,4.864948225250686,0.6932318661928889,3530.1000000000004,True
psi0.85_ld1.00_lq1.00_vdc1.15_imax1.15,0.85,1.0,1.0,1.15,1.15,0.04675,0.00018,0.00042,2.3333333333333335,413.99999999999994,299.0,-2.5820709812547715,-133.0,212.0,100.06824,250.2658586383688,45.2560203168215,193.76699112768358,48.7341413616312,3288.2324999999996,True,-199.0,106.0,60.108360000000005,225.47061892849808,238.08399242575985,0.9390190187452276,73.52938107150192,2668.9425,True,-277.0,108.0,73.37304,297.30960293942746,237.99455139327807,1.0284600512270003,1.6903970605725362,4640.632500000001,True
psi0.85_ld0.80_lq1.30_vdc1.00_imax1.15,0.85,0.8,1.3,1.0,1.15,0.04675,0.000144,0.000546,3.791666666666667,360.0,299.0,-2.6357804183913345,-125.0,172.0,100.10400000000001,212.6240814207083,47.29767106112599,160.54842584713933,86.37591857929169,2373.4725,True,-251.0,68.0,60.242016,260.0480724789169,203.19174732665664,4.65434958160867,38.95192752108312,3550.312500000001,True,-289.0,70.0,68.42975999999999,297.3566881709574,204.19417093229558,3.651925975969732,1.6433118290426023,4642.102499999998,True
psi1.00_ld0.80_lq1.30_vdc1.15_imax1.00,1.0,0.8,1.3,1.15,1.0,0.055,0.000144,0.000546,3.791666666666667,413.99999999999994,260.0,-2.8404631304830286,-110.0,168.0,100.01375999999999,200.80836635957178,47.78646862363862,191.23654282086645,59.19163364042822,2117.0099999999998,True,-216.0,72.0,61.271424,227.68399153212331,239.0215985749881,0.0014128695169688399,32.316008467876685,2721.6,True,-248.0,76.0,70.54137600000001,259.3838853899756,239.00875681280354,0.014254631701533071,0.6161146100243968,3532.2,True
psi0.70_ld0.80_lq1.00_vdc1.15_imax1.00,0.7,0.8,1.0,1.15,1.0,0.0385,0.000144,0.00042,2.9166666666666665,413.99999999999994,260.0,-3.066234517568441,-154.0,206.0,100.12094400000001,257.2003110418026,43.93762272497944,195.08538871952564,2.7996889581974074,3472.98,True,-204.0,106.0,60.29534399999999,229.89562849258357,236.1828579620735,2.8401534824315604,30.10437150741643,2774.7299999999996,True,-236.0,108.0,67.156128,259.53805116013336,237.7434968785324,1.2795145659726757,0.46194883986663626,3536.399999999999,True
psi0.85_ld0.80_lq1.00_vdc1.15_imax1.00,0.85,0.8,1.0,1.15,1.0,0.04675,0.000144,0.00042,2.9166666666666665,413.99999999999994,260.0,-3.1534703839334863,-136.0,198.0,100.13176800000001,240.20824298928628,43.62238502780442,195.40062641670065,19.791757010713724,3029.25,True,-194.0,100.0,60.176399999999994,218.25672956406177,238.95652982843856,0.06648161606651115,41.74327043593823,2500.89,True,-238.0,104.0,70.16131200000001,259.7306296916095,237.35521963792561,1.6677918065794586,0.26937030839047793,3541.6500000000005,True
psi1.00_ld1.20_lq1.30_vdc1.15_imax1.00,1.0,1.2,1.3,1.15,1.0,0.055,0.00021600000000000002,0.000546,2.5277777777777777,413.99999999999994,260.0,-3.2921770054485933,-114.0,180.0,100.02960000000002,213.06337085477645,49.00103154740467,190.0219798971004,46.93662914522355,2383.2900000000004,True,-206.0,82.0,60.50616,221.72054483064937,238.83694844995367,0.1860629945514063,38.279455169350626,2580.9,True,-246.0,82.0,67.00056000000001,259.3067681338071,233.97896232099623,5.044049123508842,0.6932318661928889,3530.1000000000004,True
psi0.85_ld1.20_lq1.60_vdc1.15_imax1.00,0.85,1.2,1.6,1.15,1.0,0.04675,0.00021600000000000002,0.0006720000000000001,3.111111111111111,413.99999999999994,260.0,-3.3830659209273435,-126.0,160.0,100.03775999999999,203.65657367244495,51.33270057637832,187.69031086812674,56.34342632755505,2177.49,True,-220.0,68.0,60.00456,230.26940743398808,237.39782736543242,1.6251840790726533,29.73059256601192,2783.76,True,-250.0,66.0,63.657000000000004,258.5652722234755,234.18819049662176,4.8348209478833155,1.4347277765244826,3509.9399999999987,True
psi1.00_ld1.20_lq1.00_vdc1.15_imax1.15,1.0,1.2,1.0,1.15,1.15,0.055,0.00021600000000000002,0.00042,1.9444444444444444,413.99999999999994,299.0,-3.513623918778576,-109.0,216.0,100.09785600000001,241.9442084448396,46.674892372449285,192.3481190720558,57.0557915551604,3073.192499999999,True,-201.0,106.0,61.058544000000005,227.2377609465469,238.98266136328365,0.04035008122141903,71.7622390534531,2710.9424999999997,True,-277.0,108.0,72.25718400000001,297.30960293942746,238.58229772847142,0.44071371603365606,1.6903970605725362,4640.632500000001,True
psi0.85_ld0.80_lq1.60_vdc1.00_imax1.15,0.85,0.8,1.6,1.0,1.15,0.04675,0.000144,0.0006720000000000001,4.666666666666667,360.0,299.0,-3.5652483793973637,-117.0,154.0,100.27802400000002,193.40372281835735,50.71377816430766,157.13231874395765,105.59627718164265,1963.7625,True,-251.0,56.0,60.237408,257.1711492372346,205.51593328766268,2.330163620602633,41.8288507627654,3472.1924999999997,True,-293.0,58.0,70.10599200000001,298.6854532781936,207.67286135197324,0.17323555629207021,0.31454672180638,4683.682499999998,True
psi0.70_ld1.00_lq1.60_vdc1.15_imax1.00,0.7,1.0,1.6,1.15,1.0,0.0385,0.00018,0.0006720000000000001,3.7333333333333334,413.99999999999994,260.0,-3.824106541557425,-126.0,166.0,100.090032,208.4034548657963,52.62739030386985,186.39562114063523,51.596545134203694,2280.18,True,-222.0,68.0,60.271392000000006,232.18096390531244,237.5149179860625,1.5080934584425734,27.81903609468756,2830.1699999999996,True,-250.0,66.0,63.95400000000001,258.5652722234755,233.6685002339099,5.354511210595177,1.4347277765244826,3509.9399999999987,True
